,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lebanon,289000000.0,55.0,6.610478,26733728867.1572,29247791881.3601,31908778412.087997,35195673804.9209,38009950248.7562,38771892507.3694,39624874128.6105,39981498020.1,40705166186.7142,41319230908.0978
Lesotho,48000000.0,23.0,100.0,1771401813.40366,1855250499.9942,1961620803.1337101,2027490711.28353,2187482926.29624,2276044148.40001,2389701173.48869,2496306485.34194,2587149144.08071,
Liberia,83000000.0,19.0,0.0,985872107.763442,1079873956.95073,1157051893.00929,1218376789.68453,1292697100.0,1398698238.23309,1510516487.30938,1641989954.45724,1653502629.68398,1658424405.33853
Libya,707000000.0,113.0,0.0,65725799949.0192,69900911108.9382,71765417108.4958,71198368527.333,74773444900.5368,28357141373.22,57986607817.7471,50128037037.8092,38097308148.735,34211382717.564
Liechtenstein,3000000.0,79.0,96.47059,,,,,5082338964.87305,,,,,
Lithuania,282000000.0,95.0,41.03318,37617887784.8437,41788565845.257,42886801934.2872,36533481054.584,37132564255.4319,39377194356.1208,40887547827.239,42336907127.716,43620761128.7758,44315977742.4483
Luxembourg,168000000.0,307.0,45.53324,48710198675.4967,52799735099.3377,52354569536.4238,49539470198.6755,52351655629.1391,53694834437.0861,53240000000.0,55554172185.4305,57814834437.0861,60618410596.0265
Madagascar,166000000.0,7.0,50.81556,7970138367.75655,8467521105.2625,9071129493.65326,8707027002.4923,8729936135.744879,8856903643.149158,9125049593.31503,9331595052.89601,9623316194.85465,9913610157.011759
Malawi,101000000.0,6.0,89.13565,5095550005.69307,5584722806.06858,6011380928.01556,6512015360.825911,6959655570.89098,7297481087.69745,7435096950.095921,7821721991.37864,8267560145.18226,8511453169.61565
Malaysia,3417000000.0,116.0,7.754589,216303028285.742,229927492999.286,241037060383.099,237388518363.292,255016919685.822,268516966253.76398,283214119400.205,296563285834.032,314335165005.743,329902207320.481
Maldives,15000000.0,43.0,0.0,1862195903.6426,2063143271.34413,2320556626.80372,2192660574.26177,2323401757.8125,2525754691.5989,2588809904.8105397,2710478628.92842,2886133520.0070896,2929826239.24125
Mali,66000000.0,4.0,64.76821,7265077708.961121,7868285059.88562,8619380424.78345,9631854894.68572,10678749467.4697,11506340739.9658,12796848047.7655,13694480668.3443,14761106186.0189,15884582490.5535
Malta,31000000.0,75.0,1.419698,7431983892.237221,7750015360.866091,8052265959.93993,7826802513.061629,8163355021.12327,8277641991.4189,8368696053.324559,8611388238.87086,,
Marshall Islands,1000000.0,28.0,0.0,158331648.42020902,164247808.222778,161144011.19603702,157337759.72746,163803078.278876,164053269.65571,168670109.611944,172620418.192728,170943750.207874,
Mauritania,51000000.0,13.0,0.0,4025615596.03959,4139050872.61895,4183751263.06351,4140153156.6056,4337791530.8788395,4541844130.4873705,4805047548.2939205,5097687376.0487,5312107018.9680395,
Mauritius,58000000.0,46.0,3.531856,8108433628.15455,8586060800.09435,9059246328.72715,9335461162.67676,9718233910.68203,10096261847.5491,10421558024.335,10753920076.2677,11143644878.0482,11533673588.4371
Mexico,7944000000.0,64.0,12.9134,1002728584323.31,1034857241688.87,1049348247989.9,1000025324482.99,1051128603513.77,1093642696896.43,1137587161961.8,1152891832129.47,1178835546873.81,1208858955424.02
Mongolia,475000000.0,166.0,0.0,5702204213.4547,6286567034.13562,6846094631.35334,6759245147.363811,7189482029.68248,8432599360.235471,9471480399.77148,10574805179.3285,11408652448.6758,11670531632.3175
Montenegro,42000000.0,67.0,65.58152,3618956913.23019,4004661770.24471,4281888387.15438,4039665494.0474896,4139192052.9801297,4272823841.0596104,4156440802.53725,4303952078.27945,4380722217.29257,4528558178.93351
Morocco,796000000.0,23.0,15.8918,78544623310.6445,81318751799.0351,86135221236.4504,89790590993.4885,93216746661.5977,98106615021.8513,101059586129.684,105834986867.275,108393104418.44801,113162401012.86
Mozambique,469000000.0,18.0,94.63087,7794687813.46585,8373526084.517329,8949306941.23667,9517718742.50536,10154238250.1818,10876976985.2962,11659922000.9265,12492636703.2019,13421356920.5464,14262411896.5455
Myanmar,682000000.0,13.0,72.04213,,,,,,,,,,
Namibia,63000000.0,27.0,95.79439,9693003646.96915,10334398853.639,10608240991.1714,10639638311.1204,11282192605.0374,11856607186.6558,12456727257.6528,13161100586.4209,13994228805.5322,14786830323.4907
Nauru,1000000.0,60.0,0.0,,,,,,,,,,
